questions[0].question,questions[1].question,questions[2].question,questions[3].question,questions[4].question,questions[5].question,questions[6].question,questions[7].question,questions[8].question,questions[9].question,questions[10].question,questions[11].question,questions[12].question,questions[13].question,questions[14].question,questions[15].question,questions[16].question,questions[17].question,questions[18].question,questions[19].question,questions[20].question,questions[21].question,questions[22].question,questions[23].question,questions[24].question,questions[25].question,questions[26].question,questions[27].question,questions[28].question,questions[29].question,questions[30].question,questions[31].question,questions[32].question,questions[33].question,questions[34].question,questions[35].question,questions[36].question,questions[37].question,questions[38].question,questions[39].question,questions[40].question,questions[41].question,questions[42].question,questions[43].question,questions[44].question,questions[45].question,questions[46].question,questions[47].question,questions[48].question,questions[49].question,questions[0].answer,questions[1].answer,questions[2].answer,questions[3].answer,questions[4].answer,questions[5].answer,questions[6].answer,questions[7].answer,questions[8].answer,questions[9].answer,questions[10].answer,questions[11].answer,questions[12].answer,questions[13].answer,questions[14].answer,questions[15].answer,questions[16].answer,questions[17].answer,questions[18].answer,questions[19].answer,questions[20].answer,questions[21].answer,questions[22].answer,questions[23].answer,questions[24].answer,questions[25].answer,questions[26].answer,questions[27].answer,questions[28].answer,questions[29].answer,questions[30].answer,questions[31].answer,questions[32].answer,questions[33].answer,questions[34].answer,questions[35].answer,questions[36].answer,questions[37].answer,questions[38].answer,questions[39].answer,questions[40].answer,questions[41].answer,questions[42].answer,questions[43].answer,questions[44].answer,questions[45].answer,questions[46].answer,questions[47].answer,questions[48].answer,questions[49].answer,user_response,score,relationshipStatus
"I perform useful activities like reading, gardening, etc., in my leisure time.",I find easy to make decisions.,I enjoy the company of other people.,I am quite good at managing responsibilities of my daily life.,I keep myself busy the whole day.,"I remain energetic, active, and vigorous the whole day.",I am very much satisfied about everything in my life.,I like to watch programs on TV with everyone.,In most ways my life is close to my ideal.,"So far, I have the important things I want in life.",I think I have a particular meaning and purpose of my life.,I feel rested when I wake up in the morning.,I enjoy my personal achievements.,I have an adjusting nature and sense of belongingness.,I take immense interest in other people.,I believe that people are essentially good and can be trusted.,I have a good influence on life.,I always keep committed and involved.,I like to do any task at the right place and right time.,I feel eager to tackle my daily tasks or make new decisions.,Age-related problems are part of life.,"In general, I feel I am in charge of the situation in which I live.",I feel I must do what others expect me to do.,Illness doesn't affect my mental health.,I have good relations with relatives and friends.,I have happy memories of the past.,It is always necessary that others approve of what I do.,I am always careful about my manner of dress.,I experience warm and trusting relationships with others.,"For me, life has been a continuous process of learning, changing, and growth.",Personal relationships give me pleasure.,Maintaining close relationships gives pleasure to me.,I have no hesitation in talking to anyone.,I feel that I am capable of working hard.,In my daily life I get a chance to show how capable I am.,"If I could live my life over, I would change almost nothing.",I feel satisfied by doing religious activities.,The thought of an accident doesn't affect me.,I feel I can easily handle or cope with any serious problem.,"People would describe me as a giving person, willing to share my time with others.",Talking or thinking about my illness doesn't make any difference to me.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Tension in life doesn't affect my health.,The conditions of my life are excellent.,I feel positive and creative.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"In many ways, I feel contented about my achievements in life.",I have no difficulty sleeping.,I find I can think quite clearly.,I am living the kind of life I wanted to.,Disagree,Undecided,Agree,Disagree,Disagree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Undecided,Agree,Undecided,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,Disagree,Disagree,Agree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,"Overall, I've been feeling good but sometimes I feel down\n",240,Single
"I perform useful activities like reading, gardening, etc., in my leisure time.",I find easy to make decisions.,I enjoy the company of other people.,I am quite good at managing responsibilities of my daily life.,I keep myself busy the whole day.,"I remain energetic, active, and vigorous the whole day.",I am very much satisfied about everything in my life.,I like to watch programs on TV with everyone.,In most ways my life is close to my ideal.,"So far, I have the important things I want in life.",I think I have a particular meaning and purpose of my life.,I feel rested when I wake up in the morning.,I enjoy my personal achievements.,I have an adjusting nature and sense of belongingness.,I take immense interest in other people.,I believe that people are essentially good and can be trusted.,I have a good influence on life.,I always keep committed and involved.,I like to do any task at the right place and right time.,I feel eager to tackle my daily tasks or make new decisions.,Age-related problems are part of life.,"In general, I feel I am in charge of the situation in which I live.",I feel I must do what others expect me to do.,Illness doesn't affect my mental health.,I have good relations with relatives and friends.,I have happy memories of the past.,It is always necessary that others approve of what I do.,I am always careful about my manner of dress.,I experience warm and trusting relationships with others.,"For me, life has been a continuous process of learning, changing, and growth.",Personal relationships give me pleasure.,Maintaining close relationships gives pleasure to me.,I have no hesitation in talking to anyone.,I feel that I am capable of working hard.,In my daily life I get a chance to show how capable I am.,"If I could live my life over, I would change almost nothing.",I feel satisfied by doing religious activities.,The thought of an accident doesn't affect me.,I feel I can easily handle or cope with any serious problem.,"People would describe me as a giving person, willing to share my time with others.",Talking or thinking about my illness doesn't make any difference to me.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Tension in life doesn't affect my health.,The conditions of my life are excellent.,I feel positive and creative.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"In many ways, I feel contented about my achievements in life.",I have no difficulty sleeping.,I find I can think quite clearly.,I am living the kind of life I wanted to.,Disagree,Undecided,Agree,Disagree,Disagree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Undecided,Agree,Undecided,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,Disagree,Disagree,Agree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,"Overall, I've been feeling good but sometimes I feel down\n",240,Single
"I perform useful activities like reading, gardening, etc., in my leisure time.",I find easy to make decisions.,I enjoy the company of other people.,I am quite good at managing responsibilities of my daily life.,I keep myself busy the whole day.,"I remain energetic, active, and vigorous the whole day.",I am very much satisfied about everything in my life.,I like to watch programs on TV with everyone.,In most ways my life is close to my ideal.,"So far, I have the important things I want in life.",I think I have a particular meaning and purpose of my life.,I feel rested when I wake up in the morning.,I enjoy my personal achievements.,I have an adjusting nature and sense of belongingness.,I take immense interest in other people.,I believe that people are essentially good and can be trusted.,I have a good influence on life.,I always keep committed and involved.,I like to do any task at the right place and right time.,I feel eager to tackle my daily tasks or make new decisions.,Age-related problems are part of life.,"In general, I feel I am in charge of the situation in which I live.",I feel I must do what others expect me to do.,Illness doesn't affect my mental health.,I have good relations with relatives and friends.,I have happy memories of the past.,It is always necessary that others approve of what I do.,I am always careful about my manner of dress.,I experience warm and trusting relationships with others.,"For me, life has been a continuous process of learning, changing, and growth.",Personal relationships give me pleasure.,Maintaining close relationships gives pleasure to me.,I have no hesitation in talking to anyone.,I feel that I am capable of working hard.,In my daily life I get a chance to show how capable I am.,"If I could live my life over, I would change almost nothing.",I feel satisfied by doing religious activities.,The thought of an accident doesn't affect me.,I feel I can easily handle or cope with any serious problem.,"People would describe me as a giving person, willing to share my time with others.",Talking or thinking about my illness doesn't make any difference to me.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Tension in life doesn't affect my health.,The conditions of my life are excellent.,I feel positive and creative.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"In many ways, I feel contented about my achievements in life.",I have no difficulty sleeping.,I find I can think quite clearly.,I am living the kind of life I wanted to.,Disagree,Undecided,Agree,Disagree,Disagree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Undecided,Agree,Undecided,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,Disagree,Disagree,Agree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,"Overall, I've been feeling good but sometimes I feel down\n",240,Single
"I perform useful activities like reading, gardening, etc., in my leisure time.",I find easy to make decisions.,I enjoy the company of other people.,I am quite good at managing responsibilities of my daily life.,I keep myself busy the whole day.,"I remain energetic, active, and vigorous the whole day.",I am very much satisfied about everything in my life.,I like to watch programs on TV with everyone.,In most ways my life is close to my ideal.,"So far, I have the important things I want in life.",I think I have a particular meaning and purpose of my life.,I feel rested when I wake up in the morning.,I enjoy my personal achievements.,I have an adjusting nature and sense of belongingness.,I take immense interest in other people.,I believe that people are essentially good and can be trusted.,I have a good influence on life.,I always keep committed and involved.,I like to do any task at the right place and right time.,I feel eager to tackle my daily tasks or make new decisions.,Age-related problems are part of life.,"In general, I feel I am in charge of the situation in which I live.",I feel I must do what others expect me to do.,Illness doesn't affect my mental health.,I have good relations with relatives and friends.,I have happy memories of the past.,It is always necessary that others approve of what I do.,I am always careful about my manner of dress.,I experience warm and trusting relationships with others.,"For me, life has been a continuous process of learning, changing, and growth.",Personal relationships give me pleasure.,Maintaining close relationships gives pleasure to me.,I have no hesitation in talking to anyone.,I feel that I am capable of working hard.,In my daily life I get a chance to show how capable I am.,"If I could live my life over, I would change almost nothing.",I feel satisfied by doing religious activities.,The thought of an accident doesn't affect me.,I feel I can easily handle or cope with any serious problem.,"People would describe me as a giving person, willing to share my time with others.",Talking or thinking about my illness doesn't make any difference to me.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Tension in life doesn't affect my health.,The conditions of my life are excellent.,I feel positive and creative.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"In many ways, I feel contented about my achievements in life.",I have no difficulty sleeping.,I find I can think quite clearly.,I am living the kind of life I wanted to.,Disagree,Undecided,Agree,Disagree,Disagree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Undecided,Agree,Undecided,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,Disagree,Disagree,Agree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,"Overall, I've been feeling good but sometimes I feel down\n",240,Single
"In general, I feel I am in charge of the situation in which I live.",I feel that I am capable of working hard.,In most ways my life is close to my ideal.,I have a good influence on life.,I feel positive and creative.,I enjoy the company of other people.,I experience warm and trusting relationships with others.,Talking or thinking about my illness doesn't make any difference to me.,I feel I can easily handle or cope with any serious problem.,I keep myself busy the whole day.,I have happy memories of the past.,In my daily life I get a chance to show how capable I am.,The conditions of my life are excellent.,"In many ways, I feel contented about my achievements in life.",I feel satisfied by doing religious activities.,Personal relationships give me pleasure.,Illness doesn't affect my mental health.,I think I have a particular meaning and purpose of my life.,"People would describe me as a giving person, willing to share my time with others.",I have good relations with relatives and friends.,I believe that people are essentially good and can be trusted.,I have an adjusting nature and sense of belongingness.,I am living the kind of life I wanted to.,I always keep committed and involved.,I think it is important to have new experiences that challenge how you think about yourself and the world.,Age-related problems are part of life.,"Usually, I don't feel tired, worn out, used up, or exhausted.","So far, I have the important things I want in life.",I am always careful about my manner of dress.,I take immense interest in other people.,"I remain energetic, active, and vigorous the whole day.",I am quite good at managing responsibilities of my daily life.,I am very much satisfied about everything in my life.,Maintaining close relationships gives pleasure to me.,I find I can think quite clearly.,I feel rested when I wake up in the morning.,The thought of an accident doesn't affect me.,I have no hesitation in talking to anyone.,It is always necessary that others approve of what I do.,I enjoy my personal achievements.,I feel I must do what others expect me to do.,Tension in life doesn't affect my health.,"If I could live my life over, I would change almost nothing.","For me, life has been a continuous process of learning, changing, and growth.",I like to watch programs on TV with everyone.,I feel eager to tackle my daily tasks or make new decisions.,I have no difficulty sleeping.,I find easy to make decisions.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I like to do any task at the right place and right time.,Agree,Undecided,Agree,Agree,Agree,Undecided,Undecided,Disagree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Agree,Undecided,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Undecided,Agree,Agree,Undecided,Disagree,Agree,,169,Single
I always keep committed and involved.,I have happy memories of the past.,I feel that I am capable of working hard.,Personal relationships give me pleasure.,The thought of an accident doesn't affect me.,I feel eager to tackle my daily tasks or make new decisions.,I have good relations with relatives and friends.,Age-related problems are part of life.,I am always careful about my manner of dress.,I feel I must do what others expect me to do.,I find I can think quite clearly.,"So far, I have the important things I want in life.",I enjoy my personal achievements.,I have no hesitation in talking to anyone.,"I perform useful activities like reading, gardening, etc., in my leisure time.","For me, life has been a continuous process of learning, changing, and growth.",Illness doesn't affect my mental health.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Tension in life doesn't affect my health.,I like to do any task at the right place and right time.,I think I have a particular meaning and purpose of my life.,I feel satisfied by doing religious activities.,I have no difficulty sleeping.,"In general, I feel I am in charge of the situation in which I live.",The conditions of my life are excellent.,I experience warm and trusting relationships with others.,I am living the kind of life I wanted to.,I feel I can easily handle or cope with any serious problem.,"I remain energetic, active, and vigorous the whole day.",In my daily life I get a chance to show how capable I am.,"In many ways, I feel contented about my achievements in life.",I have a good influence on life.,I feel positive and creative.,I like to watch programs on TV with everyone.,I am quite good at managing responsibilities of my daily life.,I am very much satisfied about everything in my life.,I take immense interest in other people.,I feel rested when I wake up in the morning.,I find easy to make decisions.,Maintaining close relationships gives pleasure to me.,I enjoy the company of other people.,I keep myself busy the whole day.,I have an adjusting nature and sense of belongingness.,Talking or thinking about my illness doesn't make any difference to me.,In most ways my life is close to my ideal.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"People would describe me as a giving person, willing to share my time with others.","If I could live my life over, I would change almost nothing.",I believe that people are essentially good and can be trusted.,It is always necessary that others approve of what I do.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,"Overall, I've been doing well but sometimes feel a bit down.",246,Focused on Self-Growth
I feel positive and creative.,"I remain energetic, active, and vigorous the whole day.",Age-related problems are part of life.,I find easy to make decisions.,I feel I can easily handle or cope with any serious problem.,I feel satisfied by doing religious activities.,I like to do any task at the right place and right time.,I find I can think quite clearly.,I like to watch programs on TV with everyone.,Personal relationships give me pleasure.,I enjoy my personal achievements.,I have a good influence on life.,It is always necessary that others approve of what I do.,"People would describe me as a giving person, willing to share my time with others.",I feel eager to tackle my daily tasks or make new decisions.,I enjoy the company of other people.,I think I have a particular meaning and purpose of my life.,I experience warm and trusting relationships with others.,I am quite good at managing responsibilities of my daily life.,I have happy memories of the past.,I have an adjusting nature and sense of belongingness.,In my daily life I get a chance to show how capable I am.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Illness doesn't affect my mental health.,The thought of an accident doesn't affect me.,I feel I must do what others expect me to do.,"I perform useful activities like reading, gardening, etc., in my leisure time.","So far, I have the important things I want in life.",The conditions of my life are excellent.,I feel rested when I wake up in the morning.,"In many ways, I feel contented about my achievements in life.",I feel that I am capable of working hard.,Tension in life doesn't affect my health.,"If I could live my life over, I would change almost nothing.",I take immense interest in other people.,"In general, I feel I am in charge of the situation in which I live.",Talking or thinking about my illness doesn't make any difference to me.,I have good relations with relatives and friends.,I am living the kind of life I wanted to.,I believe that people are essentially good and can be trusted.,In most ways my life is close to my ideal.,I always keep committed and involved.,I have no difficulty sleeping.,"For me, life has been a continuous process of learning, changing, and growth.",I keep myself busy the whole day.,I have no hesitation in talking to anyone.,I am always careful about my manner of dress.,Maintaining close relationships gives pleasure to me.,I am very much satisfied about everything in my life.,Undecided,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Undecided,Agree,Undecided,Undecided,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Undecided,Undecided,Undecided,Undecided,Disagree,Undecided,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Strongly Agree,Strongly Agree,Strongly Agree,I've been feeling a bit anxious and stressed due to work.,183,Single
I experience warm and trusting relationships with others.,I always keep committed and involved.,I feel that I am capable of working hard.,Talking or thinking about my illness doesn't make any difference to me.,I take immense interest in other people.,"I perform useful activities like reading, gardening, etc., in my leisure time.","Usually, I don't feel tired, worn out, used up, or exhausted.",I enjoy my personal achievements.,"I remain energetic, active, and vigorous the whole day.",Illness doesn't affect my mental health.,I feel rested when I wake up in the morning.,I have a good influence on life.,I feel satisfied by doing religious activities.,Maintaining close relationships gives pleasure to me.,I feel I can easily handle or cope with any serious problem.,I have no difficulty sleeping.,I like to watch programs on TV with everyone.,I am always careful about my manner of dress.,It is always necessary that others approve of what I do.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I am living the kind of life I wanted to.,In my daily life I get a chance to show how capable I am.,"If I could live my life over, I would change almost nothing.",I am very much satisfied about everything in my life.,The thought of an accident doesn't affect me.,In most ways my life is close to my ideal.,I like to do any task at the right place and right time.,Tension in life doesn't affect my health.,I am quite good at managing responsibilities of my daily life.,"In general, I feel I am in charge of the situation in which I live.",The conditions of my life are excellent.,I feel eager to tackle my daily tasks or make new decisions.,I feel I must do what others expect me to do.,"People would describe me as a giving person, willing to share my time with others.",I have good relations with relatives and friends.,I find I can think quite clearly.,I believe that people are essentially good and can be trusted.,"So far, I have the important things I want in life.",I have no hesitation in talking to anyone.,I enjoy the company of other people.,Personal relationships give me pleasure.,I keep myself busy the whole day.,"For me, life has been a continuous process of learning, changing, and growth.",I find easy to make decisions.,I have an adjusting nature and sense of belongingness.,"In many ways, I feel contented about my achievements in life.",I have happy memories of the past.,I think I have a particular meaning and purpose of my life.,I feel positive and creative.,Age-related problems are part of life.,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,197,Single
I like to watch programs on TV with everyone.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I enjoy my personal achievements.,I am quite good at managing responsibilities of my daily life.,Maintaining close relationships gives pleasure to me.,I enjoy the company of other people.,I like to do any task at the right place and right time.,The thought of an accident doesn't affect me.,I have an adjusting nature and sense of belongingness.,It is always necessary that others approve of what I do.,I feel I can easily handle or cope with any serious problem.,I feel positive and creative.,"In general, I feel I am in charge of the situation in which I live.",I feel satisfied by doing religious activities.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I have no difficulty sleeping.,"So far, I have the important things I want in life.","Usually, I don't feel tired, worn out, used up, or exhausted.",In my daily life I get a chance to show how capable I am.,Tension in life doesn't affect my health.,In most ways my life is close to my ideal.,"If I could live my life over, I would change almost nothing.","In many ways, I feel contented about my achievements in life.",I believe that people are essentially good and can be trusted.,I think I have a particular meaning and purpose of my life.,Age-related problems are part of life.,I feel eager to tackle my daily tasks or make new decisions.,I have happy memories of the past.,Personal relationships give me pleasure.,I feel that I am capable of working hard.,I find I can think quite clearly.,I find easy to make decisions.,Illness doesn't affect my mental health.,I experience warm and trusting relationships with others.,I take immense interest in other people.,"I remain energetic, active, and vigorous the whole day.",I feel I must do what others expect me to do.,I keep myself busy the whole day.,The conditions of my life are excellent.,I have no hesitation in talking to anyone.,"For me, life has been a continuous process of learning, changing, and growth.",I feel rested when I wake up in the morning.,Talking or thinking about my illness doesn't make any difference to me.,I am very much satisfied about everything in my life.,"People would describe me as a giving person, willing to share my time with others.",I have good relations with relatives and friends.,I am always careful about my manner of dress.,I always keep committed and involved.,I am living the kind of life I wanted to.,I have a good influence on life.,Agree,Strongly Agree,Strongly Agree,Agree,Undecided,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Undecided,Strongly Agree,Undecided,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,213,Single
I feel I can easily handle or cope with any serious problem.,I have no hesitation in talking to anyone.,I have a good influence on life.,I feel that I am capable of working hard.,I enjoy my personal achievements.,I always keep committed and involved.,I have good relations with relatives and friends.,I believe that people are essentially good and can be trusted.,Talking or thinking about my illness doesn't make any difference to me.,"So far, I have the important things I want in life.",I feel I must do what others expect me to do.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I like to watch programs on TV with everyone.,"In general, I feel I am in charge of the situation in which I live.",I am always careful about my manner of dress.,"In many ways, I feel contented about my achievements in life.",I enjoy the company of other people.,I feel satisfied by doing religious activities.,"People would describe me as a giving person, willing to share my time with others.",I find I can think quite clearly.,In most ways my life is close to my ideal.,I think I have a particular meaning and purpose of my life.,Maintaining close relationships gives pleasure to me.,I am very much satisfied about everything in my life.,"If I could live my life over, I would change almost nothing.",I feel eager to tackle my daily tasks or make new decisions.,I feel positive and creative.,I keep myself busy the whole day.,The conditions of my life are excellent.,Age-related problems are part of life.,I find easy to make decisions.,It is always necessary that others approve of what I do.,Personal relationships give me pleasure.,I am quite good at managing responsibilities of my daily life.,In my daily life I get a chance to show how capable I am.,I have no difficulty sleeping.,"For me, life has been a continuous process of learning, changing, and growth.",I experience warm and trusting relationships with others.,I have happy memories of the past.,I take immense interest in other people.,I am living the kind of life I wanted to.,"I remain energetic, active, and vigorous the whole day.",Illness doesn't affect my mental health.,I feel rested when I wake up in the morning.,I have an adjusting nature and sense of belongingness.,"I perform useful activities like reading, gardening, etc., in my leisure time.",Tension in life doesn't affect my health.,The thought of an accident doesn't affect me.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I like to do any task at the right place and right time.,Undecided,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Undecided,Disagree,Disagree,Undecided,Strongly Agree,Undecided,Agree,Agree,Agree,Undecided,Disagree,Agree,Strongly Agree,Agree,Undecided,Agree,Disagree,Agree,Agree,Agree,Disagree,Undecided,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Undecided,Disagree,Agree,Agree,"Overall, I've been doing well but sometimes feel a bit down.",180,Single
I feel I can easily handle or cope with any serious problem.,I have no hesitation in talking to anyone.,I have a good influence on life.,I feel that I am capable of working hard.,I enjoy my personal achievements.,I always keep committed and involved.,I have good relations with relatives and friends.,I believe that people are essentially good and can be trusted.,Talking or thinking about my illness doesn't make any difference to me.,"So far, I have the important things I want in life.",I feel I must do what others expect me to do.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I like to watch programs on TV with everyone.,"In general, I feel I am in charge of the situation in which I live.",I am always careful about my manner of dress.,"In many ways, I feel contented about my achievements in life.",I enjoy the company of other people.,I feel satisfied by doing religious activities.,"People would describe me as a giving person, willing to share my time with others.",I find I can think quite clearly.,In most ways my life is close to my ideal.,I think I have a particular meaning and purpose of my life.,Maintaining close relationships gives pleasure to me.,I am very much satisfied about everything in my life.,"If I could live my life over, I would change almost nothing.",I feel eager to tackle my daily tasks or make new decisions.,I feel positive and creative.,I keep myself busy the whole day.,The conditions of my life are excellent.,Age-related problems are part of life.,I find easy to make decisions.,It is always necessary that others approve of what I do.,Personal relationships give me pleasure.,I am quite good at managing responsibilities of my daily life.,In my daily life I get a chance to show how capable I am.,I have no difficulty sleeping.,"For me, life has been a continuous process of learning, changing, and growth.",I experience warm and trusting relationships with others.,I have happy memories of the past.,I take immense interest in other people.,I am living the kind of life I wanted to.,"I remain energetic, active, and vigorous the whole day.",Illness doesn't affect my mental health.,I feel rested when I wake up in the morning.,I have an adjusting nature and sense of belongingness.,"I perform useful activities like reading, gardening, etc., in my leisure time.",Tension in life doesn't affect my health.,The thought of an accident doesn't affect me.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I like to do any task at the right place and right time.,Undecided,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Undecided,Disagree,Disagree,Undecided,Strongly Agree,Undecided,Agree,Agree,Agree,Undecided,Disagree,Agree,Strongly Agree,Agree,Undecided,Agree,Disagree,Agree,Agree,Agree,Disagree,Undecided,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Undecided,Disagree,Agree,Agree,"Overall, I've been doing well but sometimes feel a bit down.",180,Single
"Usually, I don't feel tired, worn out, used up, or exhausted.",I am living the kind of life I wanted to.,I think it is important to have new experiences that challenge how you think about yourself and the world.,It is always necessary that others approve of what I do.,I feel I can easily handle or cope with any serious problem.,Maintaining close relationships gives pleasure to me.,Tension in life doesn't affect my health.,I feel that I am capable of working hard.,I take immense interest in other people.,I have a good influence on life.,I find easy to make decisions.,"In general, I feel I am in charge of the situation in which I live.",I feel satisfied by doing religious activities.,Illness doesn't affect my mental health.,I feel eager to tackle my daily tasks or make new decisions.,I feel positive and creative.,The thought of an accident doesn't affect me.,"People would describe me as a giving person, willing to share my time with others.",I like to do any task at the right place and right time.,I think I have a particular meaning and purpose of my life.,I experience warm and trusting relationships with others.,I find I can think quite clearly.,I feel I must do what others expect me to do.,Talking or thinking about my illness doesn't make any difference to me.,In my daily life I get a chance to show how capable I am.,I enjoy my personal achievements.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I have good relations with relatives and friends.,"In many ways, I feel contented about my achievements in life.",I like to watch programs on TV with everyone.,I feel rested when I wake up in the morning.,In most ways my life is close to my ideal.,I have happy memories of the past.,Age-related problems are part of life.,"If I could live my life over, I would change almost nothing.",I have an adjusting nature and sense of belongingness.,The conditions of my life are excellent.,I enjoy the company of other people.,I believe that people are essentially good and can be trusted.,I have no hesitation in talking to anyone.,I am very much satisfied about everything in my life.,I am quite good at managing responsibilities of my daily life.,"I remain energetic, active, and vigorous the whole day.",I keep myself busy the whole day.,Personal relationships give me pleasure.,I am always careful about my manner of dress.,"So far, I have the important things I want in life.","For me, life has been a continuous process of learning, changing, and growth.",I always keep committed and involved.,I have no difficulty sleeping.,Agree,Agree,Agree,Undecided,Agree,Undecided,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Undecided,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Undecided,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Undecided,Undecided,Agree,Agree,Agree,Strongly Agree,i am feeling good\n,191,Single
